id_language,language
0,English
1,French
2,Italian
3,German
4,Spanish - Spain
5,Japanese
6,Korean
7,Polish
8,Portuguese - Portugal
9,Russian
10,Simplified Chinese
11,Traditional Chinese
12,Portuguese - Brazil
13,Spanish - Latin America
14,Arabic
15,Bulgarian
16,Hungarian
17,Vietnamese
18,Greek
19,Danish
20,Dutch
21,Norwegian
22,Romanian
23,Thai
24,Turkish
25,Ukrainian
26,Finnish
27,Czech
28,Swedish
29,Indonesian
30,Not supported
31,Hindi
32,Slovak
33,Bangla
34,Galician
35,Malay
36,Catalan
37,Persian
38,Kazakh
39,Mongolian
40,Khmer
41,Tamil
42,Filipino
43,Azerbaijani
44,Belarusian
45,Bosnian
46,Croatian
47,Estonian
48,Irish
49,Icelandic
50,Lithuanian
51,Nepali
52,Serbian
53,Latvian
54,Heew
55,Swahili
56,Urdu
57,Portuguese
58,Welsh
59,Albanian
60,Georgian
61,Uzbek
62,Basque
63,Luxembourgish
64,Afrikaans
65,Slovenian
66,Valencian
67,Spanish
68,Scots
69,Portuguese-Brazil
70,Maori
71,Marathi
72,Macedonian
73,English (full audio)
74,French (Subtitles)
75,German  (Subtitles)
76,Italian  (Subtitles)
77,Spanish - Spain  (Subtitles)
78,Spanish  (Subtitles)
79,English - Interface: English - Full Audio: Flemish - Subtitles: English
80,(all with full audio support)
81,Japanese (all with full audio support)
82,Kannada
83,Telugu
84,Dari
85,Punjabi (Gurmukhi)
